10,16897
510,16806
1010,16881
1510,16298
2010,16239
2510,16005
3010,16319
3510,16295
4010,15745
4510,16179
5010,15895
5510,15661
6010,15531
6510,15667
7010,15180
7510,15520
8010,15490
8510,15227
9010,15168
9510,14716
10010,15029
10510,15063
11010,14860
11510,14884
12010,14472
12510,14393
13010,14456
13510,14508
14010,14189
14510,14207
15010,13865
15510,13810
16010,13645
16510,13469
17010,13801
17510,13289
18010,13150
18510,13596
19010,13242
19510,13077
20010,13352
20510,13261
21010,12792
21510,12980
22010,12641
22510,12422
23010,12769
23510,12196
24010,12451
24510,12589
25010,11957
25510,12159
26010,12226
26510,12227
27010,11640
27510,11693
28010,11644
28510,11597
29010,11739
29510,11670
30010,11208
30510,11168
31010,11089
31510,11082
32010,11323
32510,10927
33010,10839
33510,10903
34010,10959
34510,10680
35010,10957
35510,10738
36010,10669
36510,10573
37010,10530
37510,10405
38010,10054
38510,10246
39010,9882
39510,10254
40010,9647
40510,9832
41010,9741
41510,9798
42010,9722
42510,9850
43010,9376
43510,9195
44010,9501
44510,9185
45010,9292
45510,9350
46010,9310
46510,9305
47010,8931
47510,8860
48010,8620
48510,8859
49010,8854
49510,8528
50010,8865
50510,8441
51010,8267
51510,8252
52010,8618
52510,7988
53010,7992
53510,8153
54010,7914
54510,7890
55010,8117
55510,8192
56010,7828
56510,7916
57010,7500
57510,7864
58010,7591
58510,7633
59010,7401
59510,7663
60010,7392
60510,7117
61010,7236
61510,7202
62010,7134
62510,7375
63010,7037
63510,6859
64010,7143
64510,6956
65010,6594
65510,6963
66010,6698
66510,6579
67010,6637
67510,6772
68010,6795
68510,6607
69010,6566
69510,6226
70010,6558
70510,6043
71010,6260
71510,6353
72010,6230
72510,5877
73010,5909
73510,6199
74010,5790
74510,5679
75010,5923
75510,6063
76010,5795
76510,5564
77010,5568
77510,5767
78010,5440
78510,5542
79010,5514
79510,5445
80010,5563
80510,5613
81010,5435
81510,5408
82010,4973
82510,5291
83010,4870
83510,5267
84010,5282
84510,4951
85010,4998
85510,5189
86010,4995
86510,4621
87010,4653
87510,4907
88010,4646
88510,4852
89010,4394
89510,4448
90010,4877
90510,4521
91010,4466
91510,4289
92010,4708
92510,4559
93010,4639
93510,4612
94010,4102
94510,4455
95010,4532
95510,4213
96010,4385
96510,4063
97010,4092
97510,4332
98010,4341
98510,4124
99010,3989
99510,4055
100010,3915
100510,3846
101010,4183
101510,3611
102010,3765
102510,3989
103010,3899
103510,3962
104010,3933
104510,3572
105010,3840
105510,3901
106010,3584
106510,3794
107010,3876
107510,3698
108010,3566
108510,3599
109010,3742
109510,3381
110010,3217
110510,3679
111010,3612
111510,3638
112010,3439
112510,3577
113010,3443
113510,3453
114010,3239
114510,3032
115010,2968
115510,3464
116010,3337
116510,3153
117010,3429
117510,3206
118010,3367
118510,3110
119010,2981
119510,3126
